,TSS,HRV,Pulse,Stress,Sleep Qualilty,Sleep Hours,Mood,yesterday_TSS,ctl,atl,tsb
12/16/2020,42.25,10.1,37,3,5,9.5,2,66.42,106.6426256,75.17310793,31.46951768
12/17/2020,90.1,9.5,42,4,5,7.75,2,42.25,106.2534055,77.16020715,29.09319838
12/18/2020,36.39,9.6,41,3,5,8.67,2,90.1,104.6096374,71.73279155,32.87684588
12/19/2020,150,10.4,41,3,5,8.75,2,36.39,105.6775961,82.15188672,23.52570939
12/20/2020,50,9.8,47,4,4,9.5,2,150,104.3675962,77.87176003,26.49583615
12/21/2020,38.2,9.8,40,3,5,9,2,50,102.8107842,72.59057202,30.22021223
12/22/2020,75.03,9.4,41,4,5,7.33,2,38.2,102.1571492,72.91531379,29.24183545
12/23/2020,95.73,9.6,37,4,5,9.17,2,75.03,102.0059293,75.95245274,26.05347653
12/24/2020,53.68,9.9,41,4,5,9,2,95.73,100.8689017,72.98749705,27.88140461
12/25/2020,41.24,10.4,43,3,4,8,2,53.68,99.46593417,68.76120357,30.70473061
12/26/2020,20,9.8,42,3,5,9.5,2,41.24,97.59623477,62.27000974,35.32622504
12/27/2020,73.82,9.1,37,3,5,9.67,2,20,97.03682007,63.8075687,33.22925137
12/28/2020,0,9.7,44,3,5,8.67,2,73.82,94.75370736,55.31337114,39.44033622
12/29/2020,71.2,9.4,37,4,5,9.33,2,0,94.19952836,57.42823254,36.77129582
12/30/2020,94.44,10,42,4,5,8.5,2,71.2,94.20518625,62.35531676,31.84986949
12/31/2020,123.76,,,,,,,94.44,94.90056117,70.52963716,24.37092401
